timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,motor_stop_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
527478647,4.4703484e-08,-1.1175871e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
527678177,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
527877680,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
528077194,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
528276715,4.4703484e-08,-1.1175871e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
528476227,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
528675746,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
528875256,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
529074778,4.4703484e-08,-1.1175871e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
529271823,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
529478729,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
529678242,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
529877757,4.4703484e-08,-1.1175871e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
530077272,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
530276801,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
530476305,4.4703484e-08,-1.1175871e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
530675820,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
530875334,4.4703484e-08,-1.1175871e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
531074848,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
531276832,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
531476359,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
531675859,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
531875376,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
532074891,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
