timestamp,lat_accel,lat_accel_ff,bearing_feas,bearing_feas_on_track,signed_track_error,track_error_bound,airspeed_ref,bearing,heading_ref,min_ground_speed_ref,adapted_period,p_gain,time_const,can_run_factor,wind_est_valid
95317353,-0.28066567,0.058192547,1.0,1.0,56.063675,32.525696,7.1429405,-0.14215374,0.0050742123,5.0,10.0,0.87964594,7.0,1.0,1
95416957,-0.3954198,0.09498969,1.0,1.0,55.588337,33.58328,7.1426663,-0.14118724,0.0059837326,5.0,10.0,0.87964594,7.0,1.0,1
95516726,-0.28715026,0.051986635,1.0,1.0,55.095776,31.653858,7.143004,-0.13971686,0.009259896,5.0,10.0,0.87964594,7.0,1.0,1
95616538,-0.38981277,0.08339258,1.0,1.0,54.620327,32.68153,7.142858,-0.13849841,0.010465849,5.0,10.0,0.87964594,7.0,1.0,1
95716380,-0.4428721,0.100356996,1.0,1.0,54.13312,33.484406,7.142721,-0.13688466,0.014694596,5.0,10.0,0.87964594,7.0,1.0,1
95816139,-0.37663448,0.079323426,1.0,1.0,53.67155,33.129234,7.142923,-0.13561764,0.017926848,5.0,10.0,0.87964594,7.0,1.0,1
95915926,-0.4332221,0.097712345,1.0,1.0,53.185223,33.984013,7.1439357,-0.13421516,0.01898375,5.0,10.0,0.87964594,7.0,1.0,1
96015937,-0.24808186,0.040266536,1.0,1.0,52.700188,32.145126,7.142858,-0.13254394,0.022263559,5.0,10.0,0.87964594,7.0,1.0,1
96115565,-0.29484186,0.057163984,1.0,1.0,52.230595,33.388123,7.142858,-0.1313925,0.025627121,5.0,10.0,0.87964594,7.0,1.0,1
96215379,-0.30441505,0.059004523,1.0,1.0,51.740032,33.467335,7.142858,-0.12984191,0.026322486,5.0,10.0,0.87964594,7.0,1.0,1
96315089,-0.2929833,0.06061467,1.0,1.0,51.257492,34.383724,7.1443925,-0.1285893,0.02934931,5.0,10.0,0.87964594,7.0,1.0,1
96414977,-0.39342672,0.08881167,1.0,1.0,50.767643,35.321117,7.1441274,-0.12723625,0.0306435,5.0,10.0,0.87964594,7.0,1.0,1
96514687,-0.21736236,0.038969193,1.0,1.0,50.270824,33.9041,7.1443734,-0.1259113,0.033767685,5.0,10.0,0.87964594,7.0,1.0,1
96614545,-0.2611247,0.053339757,1.0,1.0,49.770226,34.910126,7.144082,-0.12497004,0.036636245,5.0,10.0,0.87964594,7.0,1.0,1
96714449,-0.15635665,0.02374295,1.0,1.0,49.268185,33.73179,7.1441646,-0.12374249,0.037375618,5.0,10.0,0.87964594,7.0,1.0,1
96814165,-0.065016486,0.0044086124,1.0,1.0,48.807076,33.775333,7.1443834,-0.123299666,0.039463643,5.0,10.0,0.87964594,7.0,1.0,1
96913855,-0.1263711,0.018184017,1.0,1.0,48.326733,34.069386,7.144201,-0.12291487,0.041721337,5.0,10.0,0.87964594,7.0,1.0,1
97013702,0.05314184,0.0,1.0,1.0,47.86248,31.481258,7.1445856,-0.12281515,0.04156551,5.0,10.0,0.87964594,7.0,1.0,1
97113445,0.046285935,0.0,1.0,1.0,47.408844,32.073883,7.1444473,-0.12323901,0.042874966,5.0,10.0,0.87964594,7.0,1.0,1
97213334,0.073885836,0.0,1.0,1.0,46.959496,31.887896,7.144421,-0.12349134,0.042655826,5.0,10.0,0.87964594,7.0,1.0,1
97333219,0.16790324,0.0,1.0,1.0,46.441204,30.72827,7.14442,-0.12433154,0.043741547,5.0,10.0,0.87964594,7.0,1.0,1
97413056,0.089349836,0.0,1.0,1.0,46.094116,30.868309,7.1444564,-0.124992274,0.04527487,5.0,10.0,0.87964594,7.0,1.0,1
97532890,0.20276995,0.0,1.0,1.0,45.59032,28.433664,7.144675,-0.12595248,0.044791885,5.0,10.0,0.87964594,7.0,1.0,1
97612499,0.120108165,0.0,1.0,1.0,45.25844,29.44041,7.144657,-0.12682317,0.046186604,5.0,10.0,0.87964594,7.0,1.0,1
97732424,0.04770791,0.0,1.0,1.0,44.749268,30.311367,7.144566,-0.12769435,0.048123132,5.0,10.0,0.87964594,7.0,1.0,1
97812120,0.10741485,0.0,1.0,1.0,44.412174,29.698961,7.14485,-0.12837991,0.0476406,5.0,10.0,0.87964594,7.0,1.0,1
97932036,0.02332628,0.0,1.0,1.0,43.892796,31.307896,7.1445746,-0.12925185,0.049134,5.0,10.0,0.87964594,7.0,1.0,1
