timestamp,course_setpoint,lateral_acceleration_ff,bearing_feas,bearing_feas_on_track,signed_track_error,track_error_bound,adapted_period,wind_est_valid
86724473,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
86824188,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
86943868,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
87023673,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
87143563,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
87223187,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
87342965,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
87422737,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
87542544,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
87642172,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
87741980,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
87841723,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
87941445,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
88041243,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
88140975,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
88240758,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
88340485,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
88440269,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
88540056,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
88639798,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
88739542,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
88839319,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
88939037,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
89038801,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
89138549,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
89238403,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
89338106,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
89437899,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
89537586,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
89637430,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
89737185,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
89836883,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
89916710,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
90026514,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
90126201,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
90225941,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
90325748,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
90425439,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
90525249,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
90625002,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
90724726,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
90824476,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
90924261,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
91023997,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
91143709,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
91223538,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
91343229,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
91423048,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
91542895,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
91622574,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
91742340,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
91842052,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
91941875,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
92041561,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
92141340,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
92241061,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
92340821,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
92440650,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
92540353,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
92640110,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
92739949,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
92839637,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
92939402,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
93039143,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
93138962,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
93238714,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
93338428,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
93438188,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
