timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
68853637,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
69359762,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
69865637,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
70371638,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
70877636,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
71383779,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
71890243,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
72395637,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
72901637,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
73407637,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
73913637,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
74419789,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
74925821,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
