timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
16406322,16406242,0.10781022,0.5676562,0.093013816,12.594449,-0.27175993,-0.25214922
16426271,16426192,-0.023594057,0.5919632,0.07633151,-14.685583,3.0935464,-0.8926729
16443729,16443648,0.19563863,0.6769112,0.014291491,12.627867,4.429855,-3.8981166
16463767,16463598,0.08334371,0.8488766,-0.082804345,-0.9568984,7.809303,-4.562419
16486123,16486042,0.11359666,0.95350903,-0.11216996,1.5613616,4.2468424,-1.0611091
16506071,16505991,0.08831417,0.9923843,-0.13699295,-2.6058805,1.8422782,-2.4211795
16523528,16523448,0.04779548,0.9743218,-0.19008406,-1.8491104,-1.3501881,-2.7123206
16545971,16545891,-0.03654263,0.93044597,-0.2178915,-5.222248,-1.5383584,-0.85662717
16565921,16565841,-0.15309654,0.85782534,-0.2381715,-3.5090172,-3.825044,-0.9997971
16583377,16583297,-0.0836348,0.7831801,-0.24170339,3.6677055,-3.9761555,-0.16529602
16605820,16605740,-0.0489449,0.6956346,-0.23758581,-0.027457964,-3.9605825,0.086371236
16625771,16625690,-0.06410973,0.6104769,-0.23557183,-0.41734716,-4.1002054,-0.06359036
16645762,16645640,-0.037994277,0.52415776,-0.21986616,1.199659,-4.331672,0.68119985
16663260,16663096,-0.08590401,0.45920232,-0.19858864,-2.3074696,-3.7312155,1.2484437
16685619,16685539,-0.11520002,0.35792902,-0.16768989,-0.56534827,-4.4032016,1.5528162
16705568,16705489,-0.0995506,0.27679828,-0.13760869,0.20554027,-4.1481333,1.4600164
16723027,16722945,-0.11346651,0.18546884,-0.111225784,-0.9371148,-5.2697616,1.5782806
16745467,16745389,-0.09201716,0.082441606,-0.0642082,1.4798605,-4.6632605,2.1591418
16765419,16765338,-0.08517344,-0.028365431,-0.033379175,-0.30659318,-5.557409,1.8033063
16787866,16787782,-0.12230647,-0.15101561,0.00410721,-0.7550802,-5.209058,1.6101596
16805317,16805238,-0.07996767,-0.23465085,0.021842523,1.8828188,-4.7258935,1.0897758
16825265,16825188,-0.050422102,-0.33848387,0.046676688,1.2218447,-4.8127985,1.0742637
16845218,16845138,0.016035639,-0.4071081,0.06837947,3.8913467,-3.6149516,1.0320541
16862754,16862594,0.048797395,-0.4669981,0.08102838,1.9821804,-3.4456353,0.87275493
16885119,16885037,0.06832778,-0.51449364,0.09362492,0.9979879,-1.9892317,0.5484772
16905067,16904987,0.09046111,-0.5556382,0.097864434,0.9520636,-1.8767986,0.070209816
16927513,16927431,0.10521863,-0.56750095,0.10195387,1.1683035,-0.2546296,0.07477161
16944964,16944887,0.12710224,-0.5664814,0.09591744,1.1468477,0.0614937,-0.33771643
16964916,16964836,0.109894514,-0.5560034,0.08688605,-1.255393,0.5761055,-0.4842378
16987361,16987280,0.077644266,-0.52045935,0.06703847,-1.3492358,1.3686433,-0.94407845
17004815,17004736,0.06794451,-0.49307793,0.05352437,-0.8324662,1.5515476,-0.7837573
17024765,17024686,0.046493143,-0.43750912,0.03417255,-0.26421103,2.674504,-1.0504211
17044716,17044636,0.047905333,-0.37449026,0.02038592,-0.109330155,3.1410096,-0.7939323
17059781,17059598,0.044583477,-0.32080296,0.009517794,-0.18153726,3.6266246,-0.6181039
17084616,17084535,0.045586918,-0.23708357,-0.009794037,0.67443293,3.2249765,-0.83755904
17104563,17104485,0.049173072,-0.1748812,-0.023872945,0.29068744,2.8184469,-0.63346034
17127009,17126929,0.051259734,-0.1253856,-0.03522932,0.38337353,2.0097883,-0.6145293
17144464,17144385,0.049247008,-0.11036902,-0.03545063,-0.28823215,0.59797084,-0.07249138
17164415,17164334,0.046376333,-0.117313944,-0.037290458,-0.09200966,-0.41809133,0.0055095945
17186861,17186778,0.02406181,-0.16881706,-0.03289167,-0.9052329,-2.6254644,0.17149349
17206811,17206728,-0.0020171872,-0.25272754,-0.022205735,-1.4577842,-3.8781173,0.65006995
17224291,17224184,-0.014913035,-0.35932958,-0.016340813,-0.58114773,-6.4144125,0.36943308
17244212,17244134,-0.013244257,-0.5133133,0.0010891188,0.004209928,-7.616787,0.97876495
17266659,17266577,0.010647486,-0.70019656,0.013985044,1.0876026,-8.374566,0.6480109
17284117,17284034,0.015997082,-0.86523175,0.025389103,0.89046955,-9.433665,0.58825195
17304064,17303983,0.022178978,-1.057288,0.036419872,-0.16116473,-9.659403,0.500035
17326506,17326426,0.013267183,-1.2729437,0.040590014,-0.8153864,-9.540746,0.3075247
17346456,17346377,0.009704589,-1.450393,0.044555172,0.15565841,-8.919477,0.14418374
