timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
15540942,17.1936,96.46292,15.0,147.70282,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,19.122858,17.888582,1.0,16.22465,0.9689503,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
15741046,15.757588,34.319458,15.0,151.0243,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.443977,17.828278,1.0,16.943748,-1.1861601,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
15940927,16.677004,95.35685,15.0,156.29715,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,18.58414,17.921099,1.0,17.18417,-0.5071659,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
16140934,16.180593,78.82982,15.0,160.41374,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.75719,17.94077,1.0,16.656252,-0.47565842,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
16340924,16.569647,31.422419,15.0,164.62866,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.198095,17.96028,1.0,16.729248,-0.15960121,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
16540942,16.635712,31.499332,15.0,166.37738,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.265697,17.833038,1.0,16.625996,0.009716034,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
16740920,16.66691,31.905869,15.0,168.12209,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.305027,17.73258,1.0,16.677252,-0.010341644,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
16940920,16.677004,31.475525,15.0,169.86734,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.306515,17.652544,1.0,16.642036,0.034967422,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
17140920,16.622866,31.059832,15.0,171.60895,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.244062,17.574663,1.0,16.631624,-0.008758545,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
17340928,16.63296,31.20267,15.0,173.35025,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.257013,17.510443,1.0,16.184101,0.44885826,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
