timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
15142449,0.0,0.7964975,-0.13533281,0.06601868,0.58559227,0.17187497,0.0,0.0
15192301,0.0,0.7973085,-0.13524115,0.06620622,0.58448756,0.17427883,0.0,0.0
15246958,0.0,0.7984009,-0.13511704,0.06645917,0.5829946,0.17427883,0.0,0.0
15296807,0.0,0.8001606,-0.13491538,0.06686756,0.5805769,0.17548075,0.0,0.0
15341940,0.0,0.79994535,-0.13494018,0.06681755,0.5808735,0.17668268,0.0,0.0
15391812,0.0,0.799323,-0.13501163,0.06667304,0.58172965,0.17668268,0.0,0.0
15446482,0.0,0.7984813,-0.13510786,0.06647782,0.5828844,0.17788461,0.0,0.0
15496296,0.0,0.7978328,-0.13518168,0.06632757,0.5837717,0.17788461,0.0,0.0
15541468,0.0,0.7977806,-0.13518761,0.06631548,0.5838431,0.17788461,0.0,0.0
15596107,0.0,0.797419,-0.13522865,0.06623177,0.5843369,0.17788461,0.0,0.0
15645940,0.0,0.79676586,-0.13530254,0.0660807,0.58522713,0.1790865,0.0,0.0
15695816,0.0,0.79549456,-0.13544555,0.06578706,0.586954,0.17788461,0.0,0.0
15740991,0.0,0.79380226,-0.1356343,0.06539703,0.58924073,0.17788461,0.0,0.0
15795547,0.0,0.79193735,-0.13584016,0.06496834,0.5917447,0.17788461,0.0,0.0
15845444,0.0,0.79167175,-0.13586931,0.06490738,0.5921001,0.17788461,0.0,0.0
15895294,0.0,0.7925454,-0.13577329,0.06510798,0.59093016,0.17788461,0.0,0.0
15945174,0.0,0.7936936,-0.13564636,0.06537202,0.58938706,0.1790865,0.0,0.0
15995060,0.0,0.79446614,-0.13556048,0.06554992,0.5883453,0.1790865,0.0,0.0
16044889,0.0,0.7949948,-0.13550149,0.06567178,0.58763075,0.17788461,0.0,0.0
16094804,0.0,0.79496354,-0.13550498,0.06566456,0.58767307,0.1790865,0.0,0.0
16144678,0.0,0.79498214,-0.13550289,0.065668866,0.5876478,0.17788461,0.0,0.0
16194544,0.0,0.79532695,-0.13546433,0.06574839,0.5871811,0.17788461,0.0,0.0
16244451,0.0,0.796143,-0.13537274,0.06593676,0.58607423,0.15865383,0.0,0.0
16294289,0.0,0.7961603,-0.13537079,0.06594076,0.5860507,0.111778826,0.0,0.0
16344166,0.0,0.7948248,-0.13552047,0.06563258,0.58786064,0.014423043,0.0,0.0
16394049,0.0,0.7922586,-0.13580485,0.065042116,0.5913145,0.014423043,0.0,0.0
16443930,0.0,0.7898635,-0.1360665,0.064492986,0.5945101,0.014423043,0.0,0.0
16493794,0.0,0.78906137,-0.13615331,0.06430951,0.5955743,0.014423043,0.0,0.0
16543674,0.0,0.78944784,-0.13611153,0.06439789,0.5950619,0.014423043,0.0,0.0
16593547,0.0,0.79105353,-0.13593695,0.06476559,0.5929257,0.014423043,0.0,0.0
16643506,0.0,0.793011,-0.13645813,0.06468616,0.59019357,0.014423043,0.0,0.0
16693291,0.0,0.7950259,-0.13549802,0.065678954,0.58758867,0.014423043,0.0,0.0
16743171,0.0,0.7963131,-0.1353536,0.06597606,0.585843,0.014423043,0.0,0.0
16793037,0.0,0.79687846,-0.1352898,0.06610674,0.5850737,0.014423043,0.0,0.0
16842930,0.0,0.7969332,-0.13528363,0.06611939,0.58499926,0.014423043,0.0,0.0
16892807,0.0,0.7966854,-0.13531162,0.0660621,0.5853367,0.014423043,0.0,0.0
16942663,0.0,0.79629683,-0.13609451,0.06544771,0.5857528,0.014423043,0.0,0.0
16997846,0.0,0.7964432,-0.13533893,0.066006124,0.5856662,0.014423043,0.0,0.0
17042432,0.0,0.7969259,-0.13454483,0.06664189,0.58512014,0.014423043,0.0,0.0
17092286,0.0,0.7974106,-0.13522959,0.06622984,0.5843482,0.014423043,0.0,0.0
17142164,0.0,0.7981521,-0.13514537,0.06640153,0.5833351,0.014423043,0.0,0.0
17197360,0.0,0.7990277,-0.13504545,0.06660451,0.5821352,0.014423043,0.0,0.0
17241928,0.0,0.7999101,-0.13494422,0.06680937,0.580922,0.014423043,0.0,0.0
17291801,0.0,0.80127394,-0.13478675,0.0671265,0.57903945,0.014423043,0.0,0.0
17346953,0.0,0.8036152,-0.13451347,0.06767247,0.5757857,0.014423043,0.0,0.0
17396831,0.0,0.80678403,-0.13413753,0.0684146,0.57133716,0.038461506,0.0,0.0
17441417,0.0,0.8106412,-0.13367034,0.069322966,0.56585103,0.06249997,0.0,0.0
17491280,0.0,0.815565,-0.13305819,0.07049079,0.55873096,0.06610575,0.0,0.0
17546372,0.0,0.821991,-0.1322316,0.072029434,0.5492334,0.06610575,0.0,0.0
17596301,0.0,0.82816714,-0.1314062,0.07352447,0.53987575,0.06730768,0.0,0.0
17640974,0.0,0.83425933,-0.1305607,0.075015604,0.53041303,0.014423043,0.0,0.0
17696068,0.0,0.8413865,-0.12952977,0.07678197,0.5190331,0.014423043,0.0,0.0
17745926,0.0,0.8464467,-0.12955126,0.07759889,0.5106103,0.014423043,0.0,0.0
17795749,0.0,0.84971666,-0.12826388,0.07887846,0.5052803,0.014423043,0.0,0.0
17840419,0.0,0.8498513,-0.12824284,0.07891265,0.50505376,0.014423043,0.0,0.0
17895490,0.0,0.84755886,-0.12859836,0.078331955,0.50889146,0.014423043,0.0,0.0
17945404,0.0,0.8456491,-0.12889051,0.07785031,0.5120587,0.014423043,0.0,0.0
17995267,0.0,0.84597665,-0.12884066,0.07793278,0.51151735,0.014423043,0.0,0.0
18045198,0.0,0.84950596,-0.12829675,0.078825,0.5056344,0.014423043,0.0,0.0
18095037,0.0,0.856947,-0.12710778,0.08072822,0.49291828,0.014423043,0.0,0.0
18144922,0.0,0.86856556,-0.12512742,0.08376493,0.47214445,0.014423043,0.0,0.0
18194747,0.0,0.8847735,-0.12207604,0.088152565,0.4410243,0.03605768,0.0,0.0
18244776,0.0,0.90692014,-0.11722856,0.09450343,0.39347485,0.048076898,0.0,0.0
18294482,0.0,0.9347242,-0.10953994,0.103317164,0.32189628,0.055288434,0.0,0.0
18344372,0.0,0.96190196,-0.09882231,0.11361156,0.22819115,0.055288434,0.0,0.0
18394288,0.0,0.9815415,-0.08533554,0.12406161,0.11791041,0.055288434,0.0,0.0
18444165,0.0,0.9884937,-0.07186199,0.13232267,0.014380801,0.055288434,0.0,0.0
18494025,0.0,0.98513794,-0.05853698,0.13873304,-0.08264229,0.055288434,0.0,0.0
18543911,0.0,0.97316456,-0.04536605,0.1435805,-0.17400408,0.045673043,0.0,0.0
18593732,0.0,0.9563567,-0.033869732,0.14671835,-0.2504163,0.014423043,0.0,0.0
18643693,0.0,0.9404615,-0.02541926,0.14841595,-0.30472726,0.014423043,0.0,0.0
18693532,0.0,0.92336285,-0.017675495,0.14953598,-0.35316798,0.014423043,0.0,0.0
18743373,0.0,0.90143466,-0.009013358,0.150307,-0.40588441,0.014423043,0.0,0.0
18793232,0.0,0.8782096,-0.00088626344,0.1505744,-0.4539543,0.014423043,0.0,0.0
18843260,0.0,0.8550824,0.0064409585,0.15043919,-0.49614578,0.014423043,0.0,0.0
18893024,0.0,0.8330388,0.012880918,0.15002505,-0.5323279,0.014423043,0.0,0.0
18942871,0.0,0.8126536,0.018454514,0.14944185,-0.5629571,0.014423043,0.0,0.0
18992775,0.0,0.79685867,0.02181008,0.14943038,-0.5849881,0.014423043,0.0,0.0
19042704,0.0,0.7860261,0.025277419,0.14844018,-0.5995744,0.014423043,0.0,0.0
19097267,0.0,0.77788556,0.02727292,0.14808653,-0.6100989,0.014423043,0.0,0.0
19142426,0.0,0.77371323,0.028280638,0.14789739,-0.6153815,0.014423043,0.0,0.0
19192226,0.0,0.7716237,0.028781606,0.14780073,-0.6179996,0.014423043,0.0,0.0
19242240,0.0,0.77458334,0.028071307,0.14793727,-0.61428595,0.014423043,0.0,0.0
19296779,0.0,0.7840685,0.025760915,0.14835703,-0.6021322,0.014423043,0.0,0.0
19341874,0.0,0.7957204,0.022847984,0.14883348,-0.5866478,0.014423043,0.0,0.0
19391740,0.0,0.80981123,0.019206094,0.14934711,-0.5670383,0.014423043,0.0,0.0
19446513,0.0,0.8224383,0.015820783,0.14974357,-0.54856336,0.014423043,0.0,0.0
19496252,0.0,0.83010364,0.013704379,0.14995207,-0.53689337,0.014423043,0.0,0.0
19541378,0.0,0.8349771,0.012332994,0.15007108,-0.5292824,0.014423043,0.0,0.0
19591304,0.0,0.840607,0.010722377,0.15019476,-0.5202946,0.014423043,0.0,0.0
19645968,0.0,0.8497945,0.008029521,0.15036277,-0.5051494,0.014423043,0.0,0.0
19695747,0.0,0.86148125,0.0044781384,0.1505104,-0.4849502,0.014423043,0.0,0.0
19740894,0.0,0.8741503,0.00044877568,0.15057634,-0.46172273,0.014423043,0.0,0.0
19795484,0.0,0.8910871,-0.005281434,0.15048435,-0.42812425,0.014423043,0.0,0.0
19845469,0.0,0.9062,-0.010801054,0.15018912,-0.39513052,0.014423043,0.0,0.0
19895243,0.0,0.92060983,-0.01652095,0.14966793,-0.36028334,0.014423043,0.0,0.0
19940400,0.0,0.93157864,-0.02126183,0.14906834,-0.33088955,0.014423043,0.0,0.0
19994986,0.0,0.9412874,-0.025823096,0.14834623,-0.30216655,0.014423043,0.0,0.0
20044959,0.0,0.94649523,-0.028448395,0.14786522,-0.28543526,0.014423043,0.0,0.0
20094746,0.0,0.9492968,-0.02992268,0.14757395,-0.275975,0.014423043,0.0,0.0
