timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
165914443,165883331,4,6,1,0,0,0,0,0,0,0,0,0,0
166938491,166907796,4,6,1,0,0,0,0,0,0,0,0,0,0
167958742,167927715,4,6,1,0,0,0,0,0,0,0,0,0,0
168977922,168946961,4,6,1,0,0,0,0,0,0,0,0,0,0
170001010,169968795,4,6,1,0,0,0,0,0,0,0,0,0,0
171014818,170983791,4,6,1,0,0,0,0,0,0,0,0,0,0
172034506,172003070,4,6,1,0,0,0,0,0,0,0,0,0,0
173053843,173022619,4,6,1,0,0,0,0,0,0,0,0,0,0
174073654,174042114,4,6,1,0,0,0,0,0,0,0,0,0,0
175097605,175066616,4,6,1,0,0,0,0,0,0,0,0,0,0
176115325,176084231,4,6,1,0,0,0,0,0,0,0,0,0,0
177137969,177105784,4,6,1,0,0,0,0,0,0,0,0,0,0
178157084,178125532,4,6,1,0,0,0,0,0,0,0,0,0,0
179169057,179137868,4,6,1,0,0,0,0,0,0,0,0,0,0
180185934,180154641,4,6,1,0,0,0,0,0,0,0,0,0,0
181205744,181174246,4,6,1,0,0,0,0,0,0,0,0,0,0
182225136,182193770,4,6,1,0,0,0,0,0,0,0,0,0,0
183242361,183210917,4,6,1,0,0,0,0,0,0,0,0,0,0
184260317,184227942,4,6,1,0,0,0,0,0,0,0,0,0,0
185283998,185252473,4,6,1,0,0,0,0,0,0,0,0,0,0
186303244,186272075,4,6,1,0,0,0,0,0,0,0,0,0,0
187318374,187286570,4,6,1,0,0,0,0,0,0,0,0,0,0
188338037,188306126,4,6,1,0,0,0,0,0,0,0,0,0,0
189357724,189325728,4,6,1,0,0,0,0,0,0,0,0,0,0
190381495,190348749,4,6,1,0,0,0,0,0,0,0,0,0,0
191403541,191372622,4,6,1,0,0,0,0,0,0,0,0,0,0
192423158,192391862,4,6,1,0,0,0,0,0,0,0,0,0,0
193443091,193411768,4,6,1,0,0,0,0,0,0,0,0,0,0
194465197,194433340,4,6,1,0,0,0,0,0,0,0,0,0,0
195484665,195453183,4,6,1,0,0,0,0,0,0,0,0,0,0
196506488,196475229,4,6,1,0,0,0,0,0,0,0,0,0,0
197525629,197494580,4,6,1,0,0,0,0,0,0,0,0,0,0
198540089,198509248,4,6,1,0,0,0,0,0,0,0,0,0,0
199558144,199526157,4,6,1,0,0,0,0,0,0,0,0,0,0
200579675,200548375,4,6,1,0,0,0,0,0,0,0,0,0,0
201599331,201568607,4,6,1,0,0,0,0,0,0,0,0,0,0
202621278,202589734,4,6,1,0,0,0,0,0,0,0,0,0,0
203640636,203609359,4,6,1,0,0,0,0,0,0,0,0,0,0
204660848,204628828,4,6,1,0,0,0,0,0,0,0,0,0,0
205682166,205651103,4,6,1,0,0,0,0,0,0,0,0,0,0
206706569,206675593,4,6,1,0,0,0,0,0,0,0,0,0,0
207726226,207695667,4,6,1,0,0,0,0,0,0,0,0,0,0
208748685,208716889,4,6,1,0,0,0,0,0,0,0,0,0,0
209768102,209736414,4,6,1,0,0,0,0,0,0,0,0,0,0
210790005,210758955,4,6,1,0,0,0,0,0,0,0,0,0,0
211809733,211778113,4,6,1,0,0,0,0,0,0,0,0,0,0
212829224,212797966,4,6,1,0,0,0,0,0,0,0,0,0,0
213856370,213824474,4,6,1,0,0,0,0,0,0,0,0,0,0
