timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
79381906,-0.2,0.37661695,-0.2,0.0
79581435,-0.2,0.3960559,-0.2,0.0
79780964,-0.2,0.4,-0.2,0.0
79980492,-0.2,0.4,-0.2,0.0
80180020,-0.2,0.4,-0.2,0.0
80379547,-0.2,0.4,-0.2,0.0
80581574,-0.2,0.4,-0.2,0.0
80781103,-0.2,0.4,-0.2,0.0
80980634,-0.2,0.4,-0.2,0.0
81180159,-0.2,0.4,-0.2,0.0
81379705,-0.2,0.4,-0.2,0.0
81579215,-0.2,0.4,-0.2,0.0
81778747,-0.2,0.4,-0.2,0.0
81978273,-0.2,0.4,-0.2,0.0
82180298,-0.2,0.4,-0.2,0.0
82379823,-0.2,0.4,-0.2,0.0
82579357,-0.2,0.4,-0.2,0.0
82778884,-0.2,0.4,-0.2,0.0
82978420,-0.2,0.4,-0.2,0.0
83177943,-0.2,0.4,-0.2,0.0
83382459,-0.2,0.4,-0.2,0.0
83582000,-0.2,0.4,-0.2,0.0
83781540,-0.2,0.4,-0.2,0.0
83981048,-0.2,0.4,-0.19793335,0.0
84180590,-0.2,0.4,-0.19042462,0.0
84380105,-0.2,0.4,-0.19351502,0.0
84579651,-0.2,0.4,-0.2,0.0
84781659,-0.2,0.4,-0.2,0.0
84981188,-0.2,0.4,-0.2,0.0
85180719,-0.2,0.4,-0.2,0.0
85380249,-0.2,0.4,-0.2,0.0
85579793,-0.2,0.4,-0.2,0.0
85779315,-0.2,0.4,-0.2,0.0
85978928,-0.2,0.4,-0.2,0.0
86180871,-0.2,0.4,-0.2,0.0
86380403,-0.2,0.4,-0.2,0.0
86579933,-0.2,0.4,-0.2,0.0
86779610,-0.2,0.4,-0.2,0.0
86979082,-0.2,0.4,-0.2,0.0
87178570,-0.2,0.3997882,-0.2,0.0
87378058,-0.2,0.39697045,-0.2,0.0
87582551,-0.2,0.3937913,-0.2,0.0
87782083,-0.2,0.3943454,-0.2,0.0
87981615,-0.2,0.4,-0.2,0.0
88181156,-0.2,0.4,-0.2,0.0
88380672,-0.2,0.4,-0.2,0.0
88580219,-0.2,0.4,-0.2,0.0
88779733,-0.2,0.4,-0.2,0.0
88981774,-0.2,0.4,-0.2,0.0
89181288,-0.2,0.4,-0.2,0.0
89380817,-0.2,0.4,-0.2,0.0
89580347,-0.2,0.4,-0.2,0.0
89779877,-0.2,0.4,-0.2,0.0
89979408,-0.2,0.4,-0.2,0.0
90178936,-0.2,0.4,-0.2,0.0
90380957,0.0,0.0,0.0,0.0
90580503,0.0,0.0,0.0,0.0
90780057,0.0,0.0,0.0,0.0
90979549,0.0,0.0,0.0,0.0
91179095,0.0,0.0,0.0,0.0
91378610,0.0,0.0,0.0,0.0
91578155,0.0,0.0,0.0,0.0
91782660,0.0,0.0,0.0,0.0
91982191,0.0,0.0,0.0,0.0
92181720,0.0,0.0,0.0,0.0
92381252,0.0,0.0,0.0,0.0
92580782,0.0,0.0,0.0,0.0
92780315,0.0,0.0,0.0,0.0
92979849,0.0,0.0,0.0,0.0
93181870,0.0,0.0,0.0,0.0
