timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
72965068,72940172,4028193,175.6297,99233.17,5.0073276,1.2426052,2,1
73137920,73113018,4028193,175.7803,99231.42,5.0073276,1.2425833,2,1
73364682,73342478,4028193,175.90715,99229.92,5.0073276,1.2425646,2,1
73537456,73515261,4028193,175.7354,99231.92,5.0073276,1.2425896,2,1
73764337,73744829,4028193,175.7803,99231.42,5.0073276,1.2425833,2,1
73937152,73917617,4028193,175.99168,99228.92,5.0073276,1.242552,2,1
74174773,74149883,4028193,175.75917,99231.67,5.0073276,1.2425865,2,1
74347572,74322681,4028193,175.37604,99236.17,5.0073276,1.2426428,2,1
74574275,74552085,4028193,174.40366,99247.67,5.0073276,1.2427868,2,1
74747118,74724899,4028193,174.3825,99247.92,5.0073276,1.2427899,2,1
74973877,74954373,4028193,174.78415,99243.17,5.0073276,1.2427304,2,1
75146695,75127194,4028193,174.57277,99245.67,5.0073276,1.2427619,2,1
75319610,75300075,4028193,174.44594,99247.17,5.0073276,1.2427806,2,1
75557137,75532219,4028193,174.44594,99247.17,5.0073276,1.2427806,2,1
75729890,75704967,4028193,174.65732,99244.67,5.0073276,1.2427493,2,1
75956673,75934468,4028193,174.4882,99246.67,5.0073276,1.2427742,2,1
76129514,76107290,4028193,174.93213,99241.42,5.0073276,1.2427086,2,1
76356325,76336817,4028193,175.12236,99239.17,5.0073276,1.2426804,2,1
76529086,76509574,4028193,175.33374,99236.67,5.0073276,1.242649,2,1
76766655,76741767,4028193,175.46059,99235.17,5.0073276,1.2426302,2,1
76939504,76914591,4028193,175.65349,99232.92,5.0073276,1.2426021,2,1
77166339,77144101,4028193,175.56628,99233.92,5.0073276,1.2426146,2,1
77339158,77316937,4028193,175.60855,99233.42,5.0073276,1.2426084,2,1
77565890,77546399,4028193,175.84372,99230.67,5.0073276,1.242574,2,1
77738693,77719187,4028193,175.65349,99232.92,5.0073276,1.2426021,2,1
77976274,77951373,4028193,175.886,99230.17,5.0073276,1.2425677,2,1
78149132,78124230,4028193,175.92827,99229.67,5.0073276,1.2425615,2,1
78375906,78353714,4028193,175.7803,99231.42,5.0073276,1.2425833,2,1
78548701,78526504,4028193,175.92827,99229.67,5.0073276,1.2425615,2,1
78775508,78756010,4028193,176.03397,99228.42,5.0073276,1.2425457,2,1
78948275,78928767,4028193,175.86487,99230.42,5.0073276,1.2425708,2,1
79121070,79101575,4028193,175.886,99230.17,5.0073276,1.2425677,2,1
79358718,79333808,4028193,175.97057,99229.17,5.0073276,1.2425551,2,1
79531517,79506610,4028193,175.97057,99229.17,5.0073276,1.2425551,2,1
79758333,79736126,4028193,176.11853,99227.42,5.0073276,1.2425332,2,1
79931088,79908896,4028193,176.11853,99227.42,5.0073276,1.2425332,2,1
80157895,80138381,4028193,175.99168,99228.92,5.0073276,1.242552,2,1
80330659,80311161,4028193,175.7803,99231.42,5.0073276,1.2425833,2,1
80568337,80543399,4028193,175.84372,99230.67,5.105032,1.2421376,2,1
80741134,80716235,4028193,175.90715,99229.92,5.0073276,1.2425646,2,1
80967938,80945736,4028193,175.79881,99231.17,5.105032,1.2421439,2,1
81140883,81118670,4028193,175.7354,99231.92,5.105032,1.2421532,2,1
81367741,81348220,4028193,175.82259,99230.92,5.0073276,1.2425771,2,1
81540517,81521024,4028193,175.71689,99232.17,5.105032,1.2421564,2,1
81778147,81753227,4028193,175.67197,99232.67,5.105032,1.2421626,2,1
81950914,81926022,4028193,175.60855,99233.42,5.105032,1.242172,2,1
