timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
86096668,-1.3940476,0,1,0,0,0,0,0,0,0
86602648,-1.2575691,0,1,0,0,0,0,0,0,0
87108660,-1.1344719,0,1,0,0,0,0,0,0,0
87614836,-1.0235801,0,1,0,0,0,0,0,0,0
88120647,-0.9233344,0,1,0,0,0,0,0,0,0
88626701,-0.83323246,0,1,0,0,0,0,0,0,0
89132648,-0.752536,0,1,0,0,0,0,0,0,0
89638646,-0.69312984,0,1,0,0,0,0,0,0,0
90144902,-0.6255575,0,1,0,0,0,0,0,0,0
90651664,-0.5639199,0,1,0,0,0,0,0,0,0
91157647,-0.50857913,0,1,0,0,0,0,0,0,0
91663647,-0.45868108,0,1,0,0,0,0,0,0,0
92170646,-0.414097,0,1,0,0,0,0,0,0,0
92676646,-0.37380713,0,1,0,0,0,0,0,0,0
93182682,-0.33829588,0,1,0,0,0,0,0,0,0
93688647,-0.3055859,0,1,0,0,0,0,0,0,0
94194648,-0.2821094,0,1,0,0,0,0,0,0,0
94700648,-0.2551427,0,1,0,0,0,0,0,0,0
95207649,-0.23035108,0,1,0,0,0,0,0,0,0
95713648,-0.20806764,0,1,0,0,0,0,0,0,0
96219647,-0.18778639,0,1,0,0,0,0,0,0,0
96725791,-0.16903053,0,1,0,0,0,0,0,0,0
97231854,-0.15255955,0,1,0,0,0,0,0,0,0
97737670,-0.13746445,0,1,0,0,0,0,0,0,0
98243661,-0.12441332,0,1,0,0,0,0,0,0,0
98750648,-0.11228809,0,1,0,0,0,0,0,0,0
99256661,-0.10355701,0,1,0,0,0,0,0,0,0
99762646,-0.093829125,0,1,0,0,0,0,0,0,0
100268762,-0.084893614,0,1,0,0,0,0,0,0,0
100774670,-0.076973036,0,1,0,0,0,0,0,0,0
101280647,-0.06973644,0,1,0,0,0,0,0,0,0
101786646,-0.06267547,0,1,0,0,0,0,0,0,0
102293646,-0.056323837,0,1,0,0,0,0,0,0,0
102799649,-0.050550416,0,1,0,0,0,0,0,0,0
103305661,-0.04575043,0,1,0,0,0,0,0,0,0
103811666,-0.041857123,0,1,0,0,0,0,0,0,0
104317646,-0.03754577,0,1,0,0,0,0,0,0,0
104823668,-0.0339125,0,1,0,0,0,0,0,0,0
105329646,-0.030309154,0,1,0,0,0,0,0,0,0
105835742,-0.027120542,0,1,0,0,0,0,0,0,0
106341646,-0.02449732,0,1,0,0,0,0,0,0,0
106847676,-0.022264555,0,1,0,0,0,0,0,0,0
107353647,-0.020232681,0,1,0,0,0,0,0,0,0
107859648,-0.018048001,0,1,0,0,0,0,0,0,0
108365655,-0.017872246,0,1,0,0,0,0,0,0,0
108872740,-0.019049928,0,1,0,0,0,0,0,0,0
109378652,-0.02217111,0,1,0,0,0,0,0,0,0
109884646,-0.012586425,0,1,0,0,0,0,0,0,0
110390647,-0.02534891,0,1,0,0,0,0,0,0,0
110533798,-0.033785563,0,1,1,0,0,0,0,0,0
110611295,-0.03493675,0,0,1,0,0,0,0,0,0
110699013,-0.039413046,0,0,0,0,0,0,0,0,0
110709785,-0.039413046,0,0,0,0,0,0,0,0,0
111215685,-0.052488875,0,0,0,0,0,0,0,0,0
111721647,-0.0511305,0,0,0,0,0,0,0,0,0
112227647,-0.030314358,0,0,0,0,0,0,0,0,0
112735676,-0.020697571,0,0,0,0,0,0,0,0,0
113153820,-0.042673957,0,0,1,0,0,0,0,0,0
113165159,-0.042673957,0,0,1,0,0,0,0,0,0
113395836,-0.050654773,0,0,0,0,0,0,0,0,0
113406845,-0.050654773,0,0,0,0,0,0,0,0,0
113451003,-0.04774546,0,1,0,0,0,0,0,0,0
113956665,-0.054802075,0,1,0,0,0,0,0,0,0
114462665,-0.038055263,0,1,0,0,0,0,0,0,0
114968667,-0.03949724,0,1,0,0,0,0,0,0,0
115474963,-0.06749846,0,1,0,0,0,0,0,0,0
115980803,-0.057516392,0,1,0,0,0,0,0,0,0
116486666,-0.03176199,0,1,0,0,0,0,0,0,0
116992680,-0.022724831,0,1,0,0,0,0,0,0,0
117498686,-0.02743781,0,1,0,0,0,0,0,0,0
118004669,-0.025705505,0,1,0,0,0,0,0,0,0
118510821,-0.02235687,0,1,0,0,0,0,0,0,0
119017148,-0.012316047,0,1,0,0,0,0,0,0,0
119522678,-0.03271332,0,1,0,0,0,0,0,0,0
119688356,-0.049609628,0,0,0,0,0,0,0,0,0
119698828,-0.049609628,0,0,0,0,0,0,0,0,0
120204708,-0.054914746,0,0,0,0,0,0,0,0,0
120712647,-0.055330586,0,0,0,0,0,0,0,0,0
120745799,-0.055330586,0,0,0,0,0,0,0,0,0
121251642,-0.03912222,0,0,0,0,0,0,0,0,0
121757641,-0.04010535,0,0,0,0,0,0,0,0,0
122263642,-0.030971885,0,0,0,0,0,0,0,0,0
122769642,-0.37269533,0,0,0,0,0,0,0,0,0
123275817,-0.3348147,0,0,0,0,0,0,0,0,0
123782643,-0.29931667,0,0,0,0,0,0,0,0,0
124288643,-0.2420632,0,0,0,0,0,0,0,0,0
124795664,-0.20889138,0,0,0,0,0,0,0,0,0
125301643,-0.19032894,0,0,0,0,0,0,0,0,0
125807782,-0.16918686,0,0,0,0,0,0,0,0,0
126313707,-0.17060935,0,0,0,0,0,0,0,0,0
126819642,-0.16768588,0,0,0,0,0,0,0,0,0
127325684,-0.15390848,0,0,0,0,0,0,0,0,0
127831642,-0.13681184,0,0,0,0,0,0,0,0,0
128337943,-0.13346195,0,0,0,0,0,0,0,0,0
128843643,-0.09444026,0,0,0,0,0,0,0,0,0
129349642,-0.089784086,0,0,0,0,0,0,0,0,0
129855915,-0.09352156,0,0,0,0,0,0,0,0,0
130361642,-0.063716285,0,0,0,0,0,0,0,0,0
130867780,-0.056056876,0,0,0,0,0,0,0,0,0
131373642,-0.05400712,0,0,0,0,0,0,0,0,0
131879645,-0.025235549,0,0,0,0,0,0,0,0,0
132385652,-0.006074645,0,0,0,0,0,0,0,0,0
132891652,-0.015064128,0,0,0,0,0,0,0,0,0
133397778,0.0009943286,0,0,0,0,0,0,0,0,0
133903831,-0.0058703455,0,0,0,0,0,0,0,0,0
134409676,-0.0012319115,0,0,0,0,0,0,0,0,0
134915900,-0.026659803,0,0,0,0,0,0,0,0,0
135421733,-0.034592446,0,0,0,0,0,0,0,0,0
135927780,-0.061569557,0,0,0,0,0,0,0,0,0
136433642,-0.041035533,0,0,0,0,0,0,0,0,0
136939655,-0.041296132,0,0,0,0,0,0,0,0,0
137445651,-0.007363357,0,0,0,0,0,0,0,0,0
137951642,-0.0099690985,0,0,0,0,0,0,0,0,0
138457780,-0.00036525668,0,0,0,0,0,0,0,0,0
138965004,0.0040449984,0,0,0,0,0,0,0,0,0
139470643,-0.004147567,0,0,0,0,0,0,0,0,0
139976642,0.0003076195,0,0,0,0,0,0,0,0,0
140483067,0.008766686,0,0,0,0,0,0,0,0,0
140988780,-0.013084025,0,0,0,0,0,0,0,0,0
141494645,-0.01842299,0,0,0,0,0,0,0,0,0
142000642,-0.012011924,0,0,0,0,0,0,0,0,0
142507894,-0.018028405,0,0,0,0,0,0,0,0,0
143013643,-0.014407507,0,0,0,0,0,0,0,0,0
143519782,-0.013800088,0,0,0,0,0,0,0,0,0
144025694,-0.035666008,0,0,0,0,0,0,0,0,0
144531642,-0.024057351,0,0,0,0,0,0,0,0,0
145037642,-0.018135007,0,0,0,0,0,0,0,0,0
145543642,-0.03011133,0,0,0,0,0,0,0,0,0
145874150,-0.010560069,0,0,0,0,0,0,0,0,0
146379646,-0.0031122516,0,0,0,0,0,0,0,0,0
146885675,0.0007996397,0,0,0,0,0,0,0,0,0
147391847,0.018416578,0,0,0,0,0,0,0,0,0
147897648,0.0241966,0,0,0,0,0,0,0,0,0
148403804,0.029414197,0,0,0,0,0,0,0,0,0
148909712,0.013724064,0,0,0,0,0,0,0,0,0
149415672,0.0067338953,0,0,0,0,0,0,0,0,0
149921647,0.0063046874,0,0,0,0,0,0,0,0,0
150207864,0.009382998,0,0,0,0,0,0,0,0,0
150581781,0.012219804,0,0,0,0,0,0,0,0,0
151087993,0.020881066,0,0,0,0,0,0,0,0,0
151594649,0.018045273,0,0,0,0,0,0,0,0,0
152100663,0.02176395,0,0,0,0,0,0,0,0,0
152606668,0.026075844,0,0,0,0,0,0,0,0,0
153112900,0.03657146,0,0,0,0,0,0,0,0,0
153618659,0.0462348,0,0,0,0,0,0,0,0,0
154124646,0.04716912,0,0,0,0,0,0,0,0,0
154630762,0.050151598,0,0,0,0,0,0,0,0,0
155136666,0.04180302,0,0,0,0,0,0,0,0,0
155642815,0.041418444,0,0,0,0,0,0,0,0,0
156148647,0.03760379,0,0,0,0,0,0,0,0,0
156656231,0.036338933,0,0,0,0,0,0,0,0,0
157161647,0.034334034,0,0,0,0,0,0,0,0,0
157667646,0.032427005,0,0,0,0,0,0,0,0,0
158174195,0.031227615,0,0,0,0,0,0,0,0,0
158679650,0.029822944,0,0,0,0,0,0,0,0,0
159185693,0.028460292,0,0,0,0,0,0,0,0,0
159691963,0.028197812,0,0,0,0,0,0,0,0,0
160197647,-0.025384137,0,0,0,0,0,0,0,0,0
160703927,-0.11037605,0,0,0,0,0,0,0,0,0
160936043,-0.1683305,0,0,0,0,0,0,0,0,0
160946795,-0.1683305,0,0,0,0,0,0,0,0,0
161452647,-0.3354472,0,0,0,0,0,0,0,0,0
161958751,-0.41769534,0,0,0,0,0,0,0,0,0
162464646,-0.49503252,0,0,0,0,0,0,0,0,0
162970662,-0.53939956,0,0,0,0,0,0,0,0,0
163476799,-0.54051465,0,0,0,0,0,0,0,0,0
163982646,-0.5613686,0,0,0,0,0,0,0,0,0
164488765,-0.5513024,0,0,0,0,0,0,0,0,0
164994646,-0.56047857,0,0,0,0,0,0,0,0,0
165500661,-0.8668258,0,0,0,0,0,0,0,0,0
166006888,-1.3851715,0,0,0,0,0,0,0,0,0
166512655,-1.7248154,0,0,0,0,0,0,0,0,0
167018665,-2.27654,0,0,0,0,0,0,0,0,0
167524647,-2.647995,0,0,0,0,0,0,0,0,0
168030647,-3.1253936,0,0,0,0,0,0,0,0,0
168536801,-3.2987008,0,0,0,0,0,0,0,0,0
169042650,-3.7295864,0,0,0,0,0,0,0,0,0
169548647,-3.8442576,0,0,0,0,0,0,0,0,0
170054650,-4.127945,0,0,0,0,0,0,0,0,0
170560646,-4.2312646,0,0,0,0,0,0,0,0,0
171066788,-4.552803,0,0,0,0,0,0,0,0,0
171572762,-4.8264112,0,0,0,0,0,0,0,0,0
172078647,-5.0626254,0,0,0,0,0,0,0,0,0
172584736,-5.2837286,0,0,0,0,0,0,0,0,0
173090649,-5.3069315,0,0,0,0,0,0,0,0,0
173596785,-5.5130515,0,0,0,0,0,0,0,0,0
174103647,-5.7026777,0,0,0,0,0,0,0,0,0
174609647,-5.806469,0,0,0,0,0,0,0,0,0
175116237,-5.950542,0,0,0,0,0,0,0,0,0
175621647,-6.0525484,0,0,0,0,0,0,0,0,0
176127648,-6.1180053,0,0,0,0,0,0,0,0,0
176633944,-6.129078,0,0,0,0,0,0,0,0,0
177141668,-6.1859274,0,0,0,0,0,0,0,0,0
177647817,-6.244419,0,0,0,0,0,0,0,0,0
178153806,-6.126572,0,0,0,0,0,0,0,0,0
178659648,-6.163937,0,0,0,0,0,0,0,0,0
179165656,-6.3845325,0,0,0,0,0,0,0,0,0
179671647,-6.4275107,0,0,0,0,0,0,0,0,0
180177785,-6.450682,0,0,0,0,0,0,0,0,0
180683648,-6.4320245,0,0,0,0,0,0,0,0,0
181189668,-6.55691,0,0,0,0,0,0,0,0,0
181695656,-6.496976,0,0,0,0,0,0,0,0,0
182201662,-6.4998345,0,0,0,0,0,0,0,0,0
182708647,-6.5191817,0,0,0,0,0,0,0,0,0
183214648,-6.5323133,0,0,0,0,0,0,0,0,0
183720663,-6.532692,0,0,0,0,0,0,0,0,0
184226648,-6.702268,0,0,0,0,0,0,0,0,0
184732646,-6.594056,0,0,0,0,0,0,0,0,0
185238659,-6.618852,0,0,0,0,0,0,0,0,0
185744649,-6.6562395,0,0,0,0,0,0,0,0,0
186250654,-6.5396047,0,0,0,0,0,0,0,0,0
186756646,-5.9587655,0,0,0,0,0,0,0,0,0
187262831,-5.3337994,0,0,0,0,0,0,0,0,0
187768647,-5.0486307,0,0,0,0,0,0,0,0,0
188274647,-4.649934,0,0,0,0,0,0,0,0,0
188780648,-4.183681,0,0,0,0,0,0,0,0,0
189177434,-3.8469434,0,0,1,0,0,0,0,0,0
189187881,-3.8469434,0,0,1,0,0,0,0,0,0
189693647,-3.4783053,0,0,1,0,0,0,0,0,0
190199751,-3.1411183,0,0,1,0,0,0,0,0,0
190706648,-2.8358052,0,0,1,0,0,0,0,0,0
191213648,-2.6141446,0,0,1,0,0,0,0,0,0
191719650,-2.3609674,0,0,1,0,0,0,0,0,0
192181787,-2.1318266,0,0,1,0,0,0,0,0,0
192193254,-2.1318266,0,0,0,0,0,0,0,0,0
192203828,-2.1318266,0,0,0,0,0,0,0,0,0
192709672,-1.9260514,0,0,0,0,0,0,0,0,0
193215665,-1.7390413,0,0,0,0,0,0,0,0,0
193721663,-1.5697621,0,0,0,0,0,0,0,0,0
194227642,-1.4171164,0,0,0,0,0,0,0,0,0
194733781,-1.2800798,0,0,0,0,0,0,0,0,0
195239644,-1.1796919,0,0,0,0,0,0,0,0,0
195745782,-1.0651803,0,0,0,0,0,0,0,0,0
196251882,-0.96161336,0,0,0,0,0,0,0,0,0
196757642,-0.86823565,0,0,0,0,0,0,0,0,0
197263796,-0.78437495,0,0,0,0,0,0,0,0,0
197770662,-0.70816684,0,0,0,0,0,0,0,0,0
198276657,-0.63958544,0,0,0,0,0,0,0,0,0
198782660,-0.5776979,0,0,0,0,0,0,0,0,0
199288663,-0.52228457,0,0,0,0,0,0,0,0,0
199794688,-0.4819408,0,0,0,0,0,0,0,0,0
200300662,-0.4359355,0,0,0,0,0,0,0,0,0
200806710,-0.39429915,0,0,0,0,0,0,0,0,0
201312692,-0.3564215,0,0,0,0,0,0,0,0,0
201818694,-0.32204026,0,0,0,0,0,0,0,0,0
202324661,-0.29083797,0,0,0,0,0,0,0,0,0
202831691,-0.2628014,0,0,0,0,0,0,0,0,0
203337643,-0.23722313,0,0,0,0,0,0,0,0,0
203843794,-0.21399535,0,0,0,0,0,0,0,0,0
204349740,-0.19765049,0,0,0,0,0,0,0,0,0
204856656,-0.17884047,0,0,0,0,0,0,0,0,0
205362911,-0.16130538,0,0,0,0,0,0,0,0,0
205868655,-0.14571445,0,0,0,0,0,0,0,0,0
206374642,-0.13249978,0,0,0,0,0,0,0,0,0
206881641,-0.12097714,0,0,0,0,0,0,0,0,0
207387822,-0.10931655,0,0,0,0,0,0,0,0,0
207893796,-0.0989749,0,0,0,0,0,0,0,0,0
208399652,-0.09047388,0,0,0,0,0,0,0,0,0
208905652,-0.084234536,0,0,0,0,0,0,0,0,0
209411657,-0.076733686,0,0,0,0,0,0,0,0,0
209917644,-0.07017053,0,0,0,0,0,0,0,0,0
210423802,-0.06363266,0,0,0,0,0,0,0,0,0
210929643,-0.057580594,0,0,0,0,0,0,0,0,0
211435737,-0.052657347,0,0,0,0,0,0,0,0,0
211941643,-0.048289355,0,0,0,0,0,0,0,0,0
212447670,-0.04444893,0,0,0,0,0,0,0,0,0
212953880,-0.04170506,0,0,0,0,0,0,0,0,0
213459661,-0.03916337,0,0,0,0,0,0,0,0,0
213965905,-0.036195893,0,0,0,0,0,0,0,0,0
214471643,-0.033203438,0,0,0,0,0,0,0,0,0
214977642,-0.03023882,0,0,0,0,0,0,0,0,0
215483780,-0.027392587,0,0,0,0,0,0,0,0,0
215989642,-0.025180127,0,0,0,0,0,0,0,0,0
216495742,-0.022989113,0,0,0,0,0,0,0,0,0
217001656,-0.020986523,0,0,0,0,0,0,0,0,0
217508788,-0.019216185,0,0,0,0,0,0,0,0,0
218014728,-0.017938685,0,0,0,0,0,0,0,0,0
218520643,-0.016493212,0,0,0,0,0,0,0,0,0
219027651,-0.015283395,0,0,0,0,0,0,0,0,0
219533642,-0.014470304,0,0,0,0,0,0,0,0,0
220039644,-0.013450106,0,0,0,0,0,0,0,0,0
220545651,-0.012232573,0,0,0,0,0,0,0,0,0
221051676,-0.011097483,0,0,0,0,0,0,0,0,0
221557806,-0.010281858,0,0,0,0,0,0,0,0,0
222064779,-0.009434529,0,0,0,0,0,0,0,0,0
222570854,-0.009198479,0,0,0,0,0,0,0,0,0
223077643,-0.008616411,0,0,0,0,0,0,0,0,0
223583642,-0.008668877,0,0,0,0,0,0,0,0,0
224089645,-0.008351423,0,0,0,0,0,0,0,0,0
224595643,-0.008125494,0,0,0,0,0,0,0,0,0
225101643,-0.008268397,0,0,0,0,0,0,0,0,0
225607643,-0.007676713,0,0,0,0,0,0,0,0,0
226113841,-0.0071664345,0,0,0,0,0,0,0,0,0
226619655,-0.0067573953,0,0,0,0,0,0,0,0,0
227125653,-0.006582984,0,0,0,0,0,0,0,0,0
227631656,-0.0061615645,0,0,0,0,0,0,0,0,0
228137643,-0.0059263413,0,0,0,0,0,0,0,0,0
228643643,-0.005563661,0,0,0,0,0,0,0,0,0
229149642,-0.005267793,0,0,0,0,0,0,0,0,0
229655651,-0.0049806507,0,0,0,0,0,0,0,0,0
230161642,-0.00473721,0,0,0,0,0,0,0,0,0
230667655,-0.0042807227,0,0,0,0,0,0,0,0,0
231173642,-0.003954468,0,0,0,0,0,0,0,0,0
231679716,-0.0036872474,0,0,0,0,0,0,0,0,0
232185652,-0.0034585088,0,0,0,0,0,0,0,0,0
232691642,-0.0032943836,0,0,0,0,0,0,0,0,0
233197717,-0.0031566736,0,0,0,0,0,0,0,0,0
233703643,-0.0030142572,0,0,0,0,0,0,0,0,0
234209683,-0.0028405634,0,0,0,0,0,0,0,0,0
234715642,-0.002673867,0,0,0,0,0,0,0,0,0
235221643,-0.0032094491,0,0,0,0,0,0,0,0,0
235727642,-0.0034922555,0,0,0,0,0,0,0,0,0
236233643,-0.0033546612,0,0,0,0,0,0,0,0,0
236739647,-0.003950854,0,0,0,0,0,0,0,0,0
237246213,-0.0042673373,0,0,0,0,0,0,0,0,0
237751642,-0.0051038647,0,0,0,0,0,0,0,0,0
238257643,-0.0059870505,0,0,0,0,0,0,0,0,0
238763921,-0.0059943236,0,0,0,0,0,0,0,0,0
239269643,-0.006265502,0,0,0,0,0,0,0,0,0
239775652,-0.006426253,0,0,0,0,0,0,0,0,0
240281825,-0.0060576866,0,0,0,0,0,0,0,0,0
240787644,-0.006517888,0,0,0,0,0,0,0,0,0
241293642,-0.0064691645,0,0,0,0,0,0,0,0,0
241800327,-0.0064021004,0,0,0,0,0,0,0,0,0
242305684,-0.0066786665,0,0,0,0,0,0,0,0,0
242811655,-0.006245417,0,0,0,0,0,0,0,0,0
243317643,-0.006058175,0,0,0,0,0,0,0,0,0
243823642,-0.0072122347,0,0,0,0,0,0,0,0,0
244329812,0.008495185,0,0,0,0,0,0,0,0,0
244835688,0.012862303,0,0,0,0,0,0,0,0,0
245341642,0.010350104,0,0,0,0,0,0,0,0,0
245847664,0.023677366,0,0,0,0,0,0,0,0,0
246353642,0.031009046,0,0,0,0,0,0,0,0,0
246859981,0.03064565,0,0,0,0,0,0,0,0,0
247365691,0.036899228,0,0,0,0,0,0,0,0,0
247871675,0.02639278,0,0,0,0,0,0,0,0,0
248377641,0.022561682,0,0,0,0,0,0,0,0,0
248883655,0.020021256,0,0,0,0,0,0,0,0,0
249389642,0.0015220798,0,0,0,0,0,0,0,0,0
249895653,-0.0017698762,0,0,0,0,0,0,0,0,0
250401643,-0.043832097,0,0,0,0,0,0,0,0,0
250907685,-0.053108092,0,0,0,0,0,0,0,0,0
251413802,-0.057541106,0,0,0,0,0,0,0,0,0
251920253,-0.055987015,0,0,0,0,0,0,0,0,0
252425652,-0.039560217,0,0,0,0,0,0,0,0,0
252931662,-0.050702125,0,0,0,0,0,0,0,0,0
253437642,-0.044776604,0,0,0,0,0,0,0,0,0
253943643,-0.0349438,0,0,0,0,0,0,0,0,0
254450643,-0.035327632,0,0,0,0,0,0,0,0,0
254956656,-0.03360245,0,0,0,0,0,0,0,0,0
255462794,-0.026050737,0,0,0,0,0,0,0,0,0
255968642,-0.033194266,0,0,0,0,0,0,0,0,0
256475162,-0.018292105,0,0,0,0,0,0,0,0,0
256980645,-0.011273482,0,0,0,0,0,0,0,0,0
257486643,-0.011676428,0,0,0,0,0,0,0,0,0
257993281,-0.010230654,0,0,0,0,0,0,0,0,0
258499642,0.0037462336,0,0,0,0,0,0,0,0,0
259005833,0.0057463306,0,0,0,0,0,0,0,0,0
259511683,0.011145837,0,0,0,0,0,0,0,0,0
260017643,0.018067142,0,0,0,0,0,0,0,0,0
260523642,0.017786672,0,0,0,0,0,0,0,0,0
261029644,0.009276911,0,0,0,0,0,0,0,0,0
261536144,0.013933276,0,0,0,0,0,0,0,0,0
262041642,0.021430109,0,0,0,0,0,0,0,0,0
262547642,0.010100138,0,0,0,0,0,0,0,0,0
263053727,-0.00040722446,0,0,0,0,0,0,0,0,0
263559646,-0.0059831287,0,0,0,0,0,0,0,0,0
264065842,-0.003268288,0,0,0,0,0,0,0,0,0
