timestamp,frequency_hz
603451114,3.9157448
603501140,4.16323
603551105,4.068602
603601114,4.2355533
603651106,4.085278
603701132,3.9484186
603751114,4.1869254
603801106,4.0893755
603851105,4.2149253
603901135,4.0521326
603951112,3.9637098
604001119,4.1845946
604051116,4.049351
604101107,4.231353
604151106,3.9878569
604201115,3.994823
604251105,4.17491
604301141,4.081103
604351116,4.2494073
604401105,3.9481492
604451106,3.9971232
604501137,4.111931
604551107,4.097829
604601105,4.194594
604651114,3.9544313
604701116,4.043845
604751106,4.141481
604801114,4.099661
604851105,4.1971483
604901115,3.8816364
604951114,4.0343547
605001116,4.0467086
605051106,4.047532
605101119,4.082699
605151105,3.7771661
605201128,3.899919
605251113,3.976755
605301115,3.9807558
605351106,4.08299
605401114,3.8083215
605451105,3.9890776
605501119,4.0678663
605551115,4.103894
605601105,4.183248
605651105,3.905476
605701113,4.078552
605751105,4.1083055
605801106,4.1616
605851114,4.1688414
605901112,3.9222708
605951105,4.1252036
606001114,4.1055984
606051105,4.157577
606101160,4.145995
606151123,3.9082994
606201106,4.155099
606251105,4.0579247
606301116,4.182986
606351105,4.0977106
606401105,3.9162796
606451114,4.1681094
606501128,4.06983
606551106,4.237225
606601115,4.0728803
606651106,3.961136
606701120,4.1850824
606751116,4.0872054
606801106,4.2086687
606851106,4.0427513
606901160,3.959652
606951105,4.182354
607001105,4.0527563
607051114,4.239267
607101160,3.9833353
607151105,3.9930162
607201115,4.187007
607251106,4.0857515
607301129,4.246466
607351115,3.9633863
607401105,4.068309
607451106,4.1554418
607501113,4.1218705
607551105,4.191679
607601154,3.9404504
607651114,4.053305
607701114,4.129321
607751105,4.1033773
607801114,4.1897526
607851106,3.904307
607901119,4.094425
607951115,4.1170173
608001105,4.163462
608051105,4.181943
608101119,3.915805
608151105,4.1475244
608201105,4.07827
608251132,4.1724825
608301106,4.1129265
608351107,3.9267273
608401115,4.1298985
608451149,4.067437
608501129,4.182929
608551115,4.081219
608601111,3.860863
608651107,4.1040616
608701118,3.9594767
608751105,4.08178
608801105,3.9556577
608851115,3.743343
608901116,3.9823024
608951123,3.9316025
609001114,4.03225
609051105,3.9588068
609101120,3.739766
609151116,4.011798
609201105,3.9561343
609251105,4.1071463
609301181,4.0493913
609351106,3.8829796
609401105,4.1132383
609451114,4.065149
609501213,4.1917143
609551104,4.0960174
609601114,3.8999953
609651106,4.1637473
609701158,4.06637
609751115,4.2188296
609801106,4.078432
609851105,3.9354348
609901113,4.1942267
609951131,4.048467
610001107,4.2177896
610051134,4.006894
610101202,3.966782
610151106,4.1502843
610201114,4.0512586
610251105,4.212893
610301130,3.9825904
610351115,3.9517617
610401105,4.164721
610451105,4.0634446
610501119,4.221575
610551105,3.9677377
610601105,3.999892
610651114,4.1732273
610701116,4.0835185
610751105,4.2207246
610801142,3.9310858
610851105,4.05997
610901141,4.1162763
610951114,4.103586
611001105,4.18252
611051117,3.9145548
611101124,4.0415106
611151105,4.103439
611201106,4.092171
611251114,4.1795907
611301128,3.8848045
611351129,4.058554
611401116,4.06382
611451105,4.104626
611501134,4.165285
611551115,3.8939924
611601106,4.1288524
611651156,4.0858216
611701113,4.183781
611751105,4.1176248
611801105,3.91271
611851114,4.121175
611901114,4.0697618
611951108,4.160421
612001118,4.102583
612051107,3.9047077
612101119,4.1637883
612151120,4.060522
612201113,4.2107773
612251106,4.085959
612301120,3.9159067
612351106,4.19586
612401105,4.0630918
612451115,4.23431
612501168,4.0304713
612551105,3.9667735
612601115,4.1402974
612651105,4.0394254
612701136,4.143185
612751115,3.9231603
612801105,3.8199923
612851105,4.050015
612901121,3.9016423
612951108,4.0546517
613001105,3.8326561
613051133,3.6499517
613101112,3.8792725
613151105,3.7457318
613201118,3.8635187
613251105,3.8020658
613301120,3.5683317
613351115,3.7750986
613401106,3.8269744
613451106,3.8676765
613501123,3.9559145
613551105,3.7234666
613601105,3.8562534
613651115,3.995874
613701112,3.9648385
613751106,4.1089287
613801115,3.8530817
613851106,4.0100513
613901119,4.087316
613951114,4.094034
614001106,4.1678753
614051105,3.892981
614101167,3.9958754
614151107,4.066683
614201105,4.052156
614251134,4.173392
614301108,3.8979738
614351105,4.0818434
614401116,4.100038
614451105,4.1409183
614501157,4.184288
614551114,3.9022422
614601105,4.1070633
614651105,4.0677977
614701201,4.176173
614751121,4.120888
614801109,3.915482
614851116,4.111855
614901144,4.0709834
614951106,4.150409
615001115,4.1127043
615051106,3.9024749
615101131,4.151168
615151115,4.0487046
615201105,4.194398
615251105,4.0670347
615301147,3.8584151
615351105,4.0903745
615401110,3.9756706
615451115,4.1056676
615501147,3.9459922
615551105,3.7257116
615601147,3.957918
615651105,3.8303385
615701118,3.9386115
615751117,3.8586617
615801105,3.6123614
615851105,3.7627885
615901138,3.7638125
615951106,3.7671206
616001105,3.818229
616051114,3.5266008
616101112,3.5073454
616151124,3.7067385
616201125,3.597622
616251120,3.703005
616301119,3.5500717
616351114,3.3024788
616401107,3.4467995
616451157,3.5396068
616501132,3.4211318
616551106,3.5941012
616601106,3.3974662
616651115,3.2289977
616701112,3.5212998
616751106,3.515542
616801115,3.5464168
616851105,3.7251723
616901128,3.425519
616951114,3.4237278
617001105,3.7354434
617051105,3.6440833
617101132,3.795554
617151106,3.7237241
617201106,3.515271
617251114,3.7690456
617301163,3.785015
617351105,3.8363426
617401117,3.9291642
617451105,3.666802
617501207,3.8442419
617551114,3.9360878
617601105,3.9863865
617651105,4.0614142
617701163,3.840359
617751105,3.9405246
617801111,4.1035485
617851114,4.078028
617901113,4.188109
617951105,3.9113054
618001114,4.0506763
618051105,4.10573
618101133,4.142908
618151160,4.190266
618201105,3.9199946
618251105,4.0796347
618301156,4.108495
618351112,4.1895013
618401106,4.1485133
618451114,3.90879
618501113,4.1059127
618551106,4.1036882
618601115,4.166674
618651118,4.1184154
618701123,3.877028
618751114,4.1273355
618801156,4.03056
618851107,4.172951
618901113,4.0842156
618951106,3.8895705
619001162,4.123746
619051115,4.043362
619101117,4.2027173
619151106,4.063662
619201114,3.9017942
619251106,4.16174
619301113,4.0550723
619351113,4.19657
619401105,4.056969
619451105,3.9341562
619501130,4.172398
619551105,4.0356283
619601106,4.197634
619651132,3.9824471
619701120,3.9508157
619751105,4.1298122
619801122,4.013703
619851105,4.1709547
619901148,3.9634378
619951115,3.9187496
620001105,4.1386843
620051117,4.0135145
620101117,4.1967545
620151105,3.9436302
620201105,3.9539406
620251114,4.1376896
620301121,4.029502
620351105,4.2074704
620401114,3.93906
620451105,4.004012
620501131,4.1218157
620551114,4.0578756
620601105,4.1788893
620651107,3.941392
620701184,4.0087423
620751105,4.1331787
620801106,4.0562525
620851114,4.182046
620901112,3.8965917
620951105,4.0396085
621001115,4.081988
621051113,4.0858817
621101170,4.1597333
621151117,3.8871095
621201106,4.021732
621251105,4.088559
621301114,4.093291
621351132,4.1621485
621401105,3.8709383
621451114,4.061594
621501168,4.084392
621551106,4.133717
621601117,4.1574335
621651106,3.877491
621701122,4.1082187
