timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
88562407,-0.017632635,0.0001686796,-0.0044536246,4987,0,0.7452763,-0.019228633,-9.855271,4903,0,0,2,1
88567395,-0.0181705,-0.003119616,-0.011064885,4988,0,0.7170863,-0.08767666,-9.841378,4904,0,0,2,1
88572382,-0.02173018,0.0010438894,-0.0027279935,4987,0,0.7773146,-0.04346722,-9.772618,4904,0,0,2,1
88577370,-0.023434037,-0.0059654624,-0.0010432173,4988,0,0.7397133,-0.09838165,-9.773577,4903,0,0,2,1
88582358,-0.022953946,-0.005180231,-0.00028362163,4988,0,0.7754061,-0.08268047,-9.8035555,4903,0,0,2,1
88587345,-0.021846958,0.0067103393,-0.012587149,4987,0,0.74911743,-0.054862488,-9.770908,4903,0,0,2,1
88592333,-0.022206247,-0.003247574,0.0018284955,4988,0,0.7434214,-0.006495467,-9.826697,4903,0,0,2,1
88597320,-0.02514577,0.0010476306,-0.0058155656,4987,0,0.71329343,0.0038696837,-9.875605,4904,0,0,2,1
88602308,-0.020029189,0.0056711584,-0.005256324,4988,0,0.7301999,0.0003574288,-9.890799,4904,0,0,2,1
88607296,-0.019176744,0.007957226,-0.0050024237,4988,0,0.73778176,0.023805844,-9.826144,4904,0,0,2,1
88612283,-0.019660292,-0.0028700437,-0.010153626,4987,0,0.73214465,0.002907394,-9.822742,4904,0,0,2,1
88617271,-0.018325588,0.00483461,-0.0061255256,4988,0,0.6963978,0.0033885303,-9.849148,4904,0,0,2,1
88622259,-0.015335297,0.0051695104,0.0018152873,4988,0,0.77919847,-0.05111593,-9.768973,4903,0,0,2,1
88627246,-0.02019326,5.1280316e-05,-0.009620422,4987,0,0.77354306,-0.07355882,-9.784496,4904,0,0,2,1
