timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius,type
253933002,0.0,0.0,5.943567,-0.33961877,-1.0545409e-06,257.45374,50.0,0
254435434,0.0,0.0,5.9345527,-0.3486326,-5.2535097e-07,258.60156,50.0,0
254937521,0.0,0.0,5.927332,-0.35585374,7.2143393e-09,259.69324,50.0,0
255439998,0.0,0.0,5.9218864,-0.3612992,5.557456e-07,260.93024,50.0,0
255932655,0.0,0.0,5.918225,-0.36496073,2.644083e-08,262.40576,50.0,0
256435554,0.0,0.0,5.915786,-0.36739966,3.4522782e-07,264.1063,50.0,0
256937280,0.0,0.0,5.913417,-0.3697686,-1.2011151e-06,265.7308,50.0,0
257439659,0.0,0.0,5.9095893,-0.37359613,-3.0849762e-06,267.11975,50.0,0
257912497,0.0,0.0,5.905253,-0.37793255,-9.4902134e-07,268.24432,50.0,0
258434618,0.0,0.0,5.899664,-0.38352168,-2.0470502e-06,269.40128,50.0,0
258937008,0.0,0.0,5.894908,-0.38827735,8.714037e-07,270.62418,50.0,0
259439376,0.0,0.0,5.8901944,-0.39299104,-9.4358984e-07,271.85278,50.0,0
259922394,0.0,0.0,5.8856854,-0.39749977,-1.1328691e-06,273.04382,50.0,0
260434537,0.0,0.0,5.8811026,-0.40208307,-2.2603376e-06,274.39197,50.0,0
260937232,0.0,0.0,5.8762846,-0.40690106,1.0776857e-06,275.69794,50.0,0
261439457,0.0,0.0,5.871355,-0.41183025,-1.5578566e-06,276.861,50.0,0
261922075,0.0,0.0,5.866877,-0.4163086,1.0346839e-06,277.94226,50.0,0
262434263,0.0,0.0,5.861448,-0.42173773,-2.5100235e-06,279.01352,50.0,0
262936514,0.0,0.0,5.856072,-0.4271137,-4.6216155e-07,280.04153,50.0,0
263438855,0.0,0.0,5.851069,-0.43211627,-4.1722615e-08,281.13892,50.0,0
263921611,0.0,0.0,5.845058,-0.43812773,2.3694502e-06,282.10754,50.0,0
264433866,0.0,0.0,5.837078,-0.44610742,-2.506847e-06,282.9001,50.0,0
264936224,0.0,0.0,5.8280406,-0.45514485,2.2292434e-06,283.3316,50.0,0
265438552,0.0,0.0,5.817741,-0.46544433,-1.040281e-06,283.27002,50.0,0
265940935,0.0,0.0,5.805881,-0.4773043,7.287558e-07,282.8026,50.0,0
266433699,0.0,0.0,5.793402,-0.48978347,2.6892903e-06,281.96005,50.0,0
266936062,0.0,0.0,5.7798605,-0.503325,-8.768111e-07,280.7221,50.0,0
267438571,0.0,0.0,5.766358,-0.5168276,3.7698192e-07,279.34665,50.0,0
267920937,0.0,0.0,5.7538714,-0.52931404,-1.7303528e-06,277.87872,50.0,0
268433206,0.0,0.0,5.7413144,-0.5418712,2.9726234e-06,276.11414,50.0,0
268935563,0.0,0.0,5.7293673,-0.553818,-5.867423e-06,274.29837,50.0,0
269438061,0.0,0.0,5.718029,-0.5651566,6.874543e-07,272.48285,50.0,0
269940549,0.0,0.0,5.707177,-0.5760084,-2.84806e-07,270.72372,50.0,0
270433110,0.0,0.0,5.696997,-0.5861885,3.8561284e-06,269.12375,50.0,0
270935490,0.0,0.0,5.686505,-0.59668064,3.670958e-06,267.68228,50.0,0
271437885,0.0,0.0,5.6756697,-0.6075157,2.3449393e-06,266.61896,50.0,0
271940280,0.0,0.0,5.6646776,-0.61850786,1.4889529e-06,266.05542,50.0,0
272432646,0.0,0.0,5.6555705,-0.6276151,5.8604855e-06,266.27893,50.0,0
272935337,0.0,0.0,5.650232,-0.6329534,-3.5628664e-06,267.54633,50.0,0
273437615,0.0,0.0,5.651155,-0.6320305,-4.7534277e-06,269.82742,50.0,0
273920075,0.0,0.0,5.65665,-0.6265353,-4.784435e-06,272.43915,50.0,0
274294422,0.0,0.0,5.6631846,-0.62000114,2.4343644e-06,274.43576,50.0,0
