timestamp,rpm_estimate,rpm_raw
182594133,1541.1481,1500.6785
182794119,653.3921,1754.8828
182994119,687.8955,1741.5253
183174119,1254.8208,1441.2621
183394119,1613.6421,1732.9105
183544120,1013.3957,1475.2267
183794119,1176.395,1719.7267
183994118,1413.4427,2401.1191
184194141,1631.0944,1795.8035
184394125,1255.9563,1578.155
184594118,1128.5188,136.59666
184793734,682.30945,900.2942
184994118,1478.1648,1716.7969
185194119,1637.7849,2435.7915
185393733,1312.6953,735.0436
185594118,1498.4893,1573.3999
185794119,1372.5409,1790.0393
185994119,961.73914,2025.4451
186174118,1495.4344,1551.132
186394119,588.70416,1670.2632
186594120,1348.4272,19.042685
186794118,517.2714,1656.7384
186994118,1355.2596,1813.6582
187194120,1555.4363,1490.1931
187394129,1571.6931,1861.978
187564117,1630.3585,1753.769
187794119,1334.5555,1791.504
187994119,1327.4418,1461.914
188194119,1315.1229,1833.9845
188374118,1635.85,1699.3888
188594118,1622.4247,1793.1481
188754119,1351.1992,205.07298
188994119,1485.3704,1731.4453
189174127,1092.896,1671.5146
189394433,1608.9827,1761.1074
189594118,1145.0894,1126.5775
189764119,1374.9369,1319.6921
189994129,1357.0018,1571.8276
190104118,851.94653,1465.4298
190394119,1099.9641,1466.4429
190594072,1567.2026,3171.2473
190794123,1405.879,1489.0017
190994119,1576.7323,1626.5199
191194118,1118.6199,1742.6254
191393733,316.37952,-2653.7632
191594117,1570.1193,1715.6754
191794120,214.95735,-1434.082
191993735,1188.6497,321.322
192184119,1447.6056,1556.7461
192394118,1504.9987,1796.0781
192594118,1276.8029,1652.5374
192794119,789.0063,1641.6906
192994119,1568.06,1605.6295
193194118,1228.325,1530.7616
193394118,855.6788,1637.8595
193594119,1087.0813,-587.40247
193794119,1511.504,1609.7023
193994120,1379.0461,1700.5135
194194484,869.4414,-0.47660577
194384119,1403.3505,1653.8087
194594119,1534.2013,1710.7667
194794119,959.31226,1374.4358
194954118,1253.0514,1756.5234
195184118,1561.5497,1688.965
195394118,861.9189,1847.168
195594118,1531.3857,1467.7734
195783746,1269.9949,-262.69873
195994119,1618.793,1659.227
196194118,1510.5302,1763.6718
196394119,800.2135,1388.5331
196574118,1347.5022,1681.6406
196794400,1507.7468,1535.9419
196973794,1284.6371,372.14557
197194119,304.42755,-2521.5002
197394119,941.6068,1566.8994
197594119,1347.9922,1705.0779
197794119,1370.7914,1426.7579
197994119,1223.661,200.6836
198194119,1118.2278,-1175.3779
198394131,1476.167,1722.0549
198594119,1116.0502,1546.8752
198764165,1631.0431,1841.2756
198994120,1636.95,1762.207
199194119,1369.0536,1952.3326
199394123,1397.0417,1746.5106
199574119,1186.4221,327.0264
199794119,969.08026,1830.8717
199994120,1293.4714,1642.7876
200154119,1351.6443,1488.2812
200394124,1625.3041,1489.0017
200594119,1572.9473,1829.2192
200794121,1445.2278,1672.3904
200994126,261.72702,-1964.6992
201194119,1374.6461,1507.3245
201394119,1602.0427,1804.6875
201594119,1476.5433,1812.1932
201793735,1117.148,0.0
201994119,1345.145,1735.8397
202194119,1034.3224,1533.5378
202344119,1058.9502,1689.2882
202574118,1405.2524,1755.0585
202794128,1418.8473,1977.2242
202994131,1190.2258,1703.7153
203194118,1352.1864,302.864
203394119,1731.2922,1914.5508
203594159,959.72876,1695.536
203734119,1557.5754,1624.8688
203994137,1316.4653,1619.969
204194119,1759.4924,1713.8672
204394119,1556.3207,1918.9456
204583745,1032.4935,0.0
204793733,673.71063,0.0
204994119,1477.1754,1539.5505
205114119,1369.0771,1762.207
205394123,1482.2645,1797.4459
205593825,1624.0878,2017.9741
205794119,1663.1697,1905.7618
205994119,1199.017,1625.9767
206194119,954.83856,-92.28527
206394119,1520.1022,1724.1212
206564119,1228.2721,-289.5508
206734118,1738.3623,1728.5157
206964119,1771.904,1797.9026
207194119,1144.5902,245.8531
207394235,1112.5828,1705.2928
207544119,1550.3052,1606.0262
207783737,659.6916,-2645.2163
207994119,1497.509,1703.613
208124119,980.77435,328.85333
208384119,1308.4075,-153.85986
208584119,1631.3546,1826.6599
208774118,1135.8933,15.347248
208994118,1547.3293,1814.9414
209164119,1718.1603,1694.9939
209394119,1693.2355,1836.7533
209594540,1498.9003,1731.7795
209734944,1751.585,1918.844
209974548,1692.7529,1873.8757
210194118,1241.7827,11.865104
210314119,1549.238,1548.3398
210554119,1630.9678,1535.664
210784120,1782.1898,1801.3975
210994119,1735.4465,1876.2772
211194119,1557.3505,1738.7401
211394914,1323.7964,295.51825
211584122,1525.6654,1590.3434
211794118,1682.4644,1875.0004
211994116,1316.8329,1783.0714
212194232,1427.4413,0.0
212394186,1359.1108,1677.7238
212584118,1327.619,109.03712
212794119,1404.9442,1908.2316
212974119,1707.2306,1782.5365
213194134,1612.2212,1834.1628
213394118,1496.7183,1524.9023
213554119,1607.5779,1782.3317
213784131,1648.8497,1780.5782
213994117,1698.6229,1797.5431
214194119,1601.8792,1778.1425
214394119,1394.0837,209.47269
214584118,1146.1492,145.25531
214794118,1526.0171,1777.0334
214994118,1237.6628,-202.7888
215174151,1540.4913,1556.5424
215394119,1734.8557,1677.2463
215594218,1258.9233,1871.1243
215744130,1707.7563,1956.344
215974120,1635.2035,1808.7203
216194119,1566.662,1583.932
216394119,1445.1742,1806.333
216554117,1222.2557,1756.8751
216784124,1338.5266,1856.4937
216994138,1638.0903,1905.262
217134119,1568.3578,1884.8873
217364120,1580.6725,1889.4594
217594180,1691.8885,1714.6903
217794118,1556.2108,1870.6056
217994119,1314.6268,1722.3066
218194119,1003.05963,-1342.5293
218394119,1681.5693,1885.2538
218554119,1158.7461,-104.12725
218744119,1262.2664,1593.7501
218994120,1238.1721,1660.5577
219194121,1785.1647,1704.7369
219394387,1604.4854,1971.5759
219554383,1726.9688,1862.4523
219794123,1437.8916,205.81107
219994840,1560.1094,1540.6796
220194135,1472.6547,1794.4922
220364308,1611.0012,1670.5748
220594118,1706.7678,1812.3934
220784347,1390.6246,-83.64216
220994118,865.2893,1531.7262
221174119,1686.6644,1874.4446
221394401,1565.6503,1783.3512
221594118,1388.7832,281.0934
221794118,1344.8718,1671.5537
221984118,1468.5659,1746.2684
222194118,1643.1887,1833.253
222394119,1517.0846,1719.1212
222564119,1613.6721,1756.5234
222794119,1606.8987,1535.156
222904119,1695.0371,1681.4724
223194807,1664.4003,1781.7147
223364119,1421.2657,12.251323
223594119,1557.6449,1656.7384
223794119,1609.0292,1637.5316
223995333,1419.5061,1889.9946
224174119,1391.7611,221.09145
224394119,1551.8611,1820.9424
224594119,1403.0626,1530.7618
224794131,1561.142,1878.7928
224984361,1686.267,1783.4995
