timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
78356586,78355626,527633,0.17311071,-0.0540887,0.4962548,3
78776587,78775626,527633,0.12982522,-0.08128973,0.5080635,3
79336599,79335625,527633,0.0067352387,-0.15501225,0.49398443,3
79876590,79825627,527633,-0.09688264,-0.17934528,0.47473812,3
80356586,80355625,527633,-0.21730709,-0.21047862,0.40511262,3
80776585,80775625,527633,-0.22488736,-0.18372992,0.41296002,3
81336585,81335624,527633,-0.27867827,-0.23798785,0.34571666,3
81876586,81825631,527633,-0.28973755,-0.26538613,0.314303,3
82316589,82315625,527633,-0.32274538,-0.2722062,0.27400795,3
82876583,82875625,527633,-0.3230575,-0.25733107,0.3134707,3
83336595,83335628,527633,-0.3154538,-0.24075232,0.32101676,3
83876585,83825625,527633,-0.3414666,-0.23319378,0.31233257,3
84316585,84315625,527633,-0.37046415,-0.16750737,0.31656957,3
84876585,84875625,527633,-0.37244883,-0.12147048,0.31129926,3
85296606,85295625,527633,-0.39833692,-0.030385135,0.30402482,3
85856596,85855625,527633,-0.40978792,0.09440946,0.27653006,3
86356586,86345625,527633,-0.38819268,0.19774652,0.24571754,3
86856585,86835625,527633,-0.32714918,0.32755327,0.18371096,3
87356602,87325629,527633,-0.2859583,0.35255834,0.1994961,3
87836587,87815637,527633,-0.22169404,0.38123035,0.24329369,3
88336621,88305644,527633,-0.18619528,0.3859228,0.2599197,3
88816586,88795625,527633,-0.1008694,0.44299707,0.21160293,3
89316588,89315627,527633,0.040150862,0.4627305,0.19609341,3
89836590,89815625,527633,0.18304163,0.4191712,0.23432347,3
90336602,90305628,527633,0.24955375,0.32180655,0.325958,3
90816586,90795633,527633,0.25585043,0.20378396,0.41960633,3
91376584,91355627,527633,0.2441694,0.082446806,0.46472332,3
91876586,91845625,527633,0.19883609,0.03322532,0.4931842,3
92296588,92295628,527633,0.1916248,-0.023542129,0.4916768,3
92856585,92855625,527633,0.16934086,0.02118758,0.5108394,3
93276663,93275627,527633,0.14636579,0.035699837,0.5005494,3
93836590,93835626,527633,0.06471346,-0.022935929,0.5212148,3
94376599,94325634,527633,-0.029555019,-0.020214805,0.5223478,3
94816586,94815625,527633,-0.1535296,0.009018678,0.4922819,3
95276588,95275628,527633,-0.24947287,0.03348018,0.42860386,3
95836586,95835625,527633,-0.39467493,0.118078716,0.28741544,3
96376585,96325625,527633,-0.39409083,0.24869792,0.17155097,3
96816589,96815625,527633,-0.31106457,0.37321255,0.06310005,3
97376585,97375625,527633,-0.13453469,0.46171203,0.09755059,3
97796586,97795626,527633,0.04300673,0.4862716,0.10720455,3
98376585,98365625,527633,0.15564278,0.3803624,0.32187048,3
98796588,98785625,527633,0.21890146,0.27523798,0.39138174,3
99356586,99345625,527633,0.23566027,0.20590556,0.44129807,3
